	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Sephs1	4402.92535871579	-0.275338868677886	0.125205914849533	-2.19908834984974	0.0278716407601302	0.11905459752232
Sugp2	1344.65569912151	-0.550764975418688	0.250485925160763	-2.19878611967999	0.0278931339268858	0.119084990592491
Atp2a3	324.153971362097	1.10487969209107	0.502475125005913	2.1988744061272	0.0278868539393478	0.119084990592491
Lrrc29	67.4586770588701	2.20157514423783	1.00132886560099	2.19865342932709	0.0279025747443002	0.119094602071459
Reep6	162.735278853234	-1.72778724398825	0.785973353004629	-2.19827712655046	0.0279293633853743	0.119178234023371
Itpkb	1963.73536490808	0.549768403280887	0.250113019580267	2.19807990884878	0.0279434119813323	0.11920747346659
Phactr2	3314.65782465618	0.328597754793041	0.149544009638445	2.19733144502075	0.0279967834598054	0.119404407315056
Zfp292	4628.84468430739	-0.303999548473531	0.13836440020846	-2.19709367449665	0.0280137567876915	0.119424738101541
Utp15	1465.30821837173	-0.453267841919909	0.206306285288732	-2.19706268902834	0.028015969348783	0.119424738101541
Grn	2548.75001652252	0.357568863779109	0.162759232861705	2.19691907790529	0.0280262260707447	0.119437724430637
Mapk8ip1	2616.7898246825	-0.480214342882072	0.218656684552855	-2.19620243425941	0.0280774572266905	0.11953629497842
Tapbpl	139.046666621175	1.42008683627482	0.646592036380142	2.19626403725135	0.0280730502060259	0.11953629497842
Serpina1a	23.2515272848154	5.99364909951697	2.72911008756518	2.19619176479037	0.0280782205711459	0.11953629497842
Zfp85os	11.2333521265562	-6.5155427800275	2.96633880792563	-2.19649311893129	0.0280566671464629	0.11953629497842
Tbc1d17	1420.42777203879	0.566039972481468	0.257897079572499	2.19482893493699	0.0281758710622246	0.11992119839305
Ctbs	318.752477457863	0.968106337158861	0.441179459457829	2.19435949794349	0.0282095752092015	0.120033807690835
Stil	1439.66110972687	-0.573970237404396	0.261596821892267	-2.19410248661497	0.028228042553474	0.120081542089958
Zfp939	141.036353388144	1.62034230091862	0.738618527830108	2.193747164289	0.0282535911129777	0.120159367596014
Krtap3-2	14.3825934307558	7.73002151232279	3.52432456285128	2.19333417637023	0.0282833110077265	0.120254888820069
Mrps31	392.045600681695	-1.07141554585531	0.488591069082455	-2.19286764260217	0.0283169166267545	0.120366878091401
Sorcs1	717.973420438983	0.827216775640134	0.377292425824822	2.19250830130424	0.0283428243475411	0.120446096797593
AI427809	50.2289772788611	3.77527807157523	1.72212680970142	2.19221839547912	0.0283637408045172	0.120473170878674
Tnpo3	4635.86173291557	-0.380147163002716	0.173402554348163	-2.19228121772327	0.0283592071050867	0.120473170878674
Egr4	247.74663643485	-1.66969025370801	0.761881027107131	-2.19153672857276	0.0284129748925114	0.12065135326697
Chrdl1	69.6744825107578	-2.46279896274138	1.12416402031489	-2.19078258887126	0.0284675291656614	0.120843259552794
Maff	2004.64407060673	0.406917506076011	0.185746829909724	2.19071036783658	0.0284727583479961	0.120843259552794
Mis18a	444.980169879361	-1.1980199112614	0.546892612082981	-2.1905944326043	0.0284811543981292	0.120847930995136
Srrt	9140.04570109713	-0.210819046109255	0.0962634662149926	-2.19002134868504	0.0285226885710951	0.120993171877129
Armcx3	645.839929313293	0.922057791442864	0.421059731433326	2.18985032908299	0.0285350932948069	0.121014802977081
Creb3l2	3666.28512690978	0.323168765077465	0.147617883070943	2.189225033949	0.0285804879709423	0.121114296044681
Cyba	821.284569555121	0.647546303091336	0.295780040036418	2.18928330326687	0.02857625515527	0.121114296044681
Arrdc3	2520.02883165287	0.35009269719274	0.159901779407981	2.1894233978441	0.028566080576318	0.121114296044681
Vcam1	910.07552032768	0.674593535092348	0.308234041875461	2.18857570366907	0.0286276933474343	0.121282499626966
Septin11	13241.5992332117	0.187014317772435	0.0854579945561545	2.18837709384285	0.0286421453993776	0.121282499626966
